# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
CEMVR; CEphalic Male Sensory Neuron Ventral Right; AB prpaapapp; Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite
CEPDL; CEPhalic Sensory Neuron Dorsal Left; AB plaaaaappa; Cephalic neurons, contain dopamine
CEPDR; CEPhalic Sensory Neuron Dorsal Right; AB arpapaappa; Cephalic neurons, contain dopamine
CEPVL; CEPhalic Sensory Neuron Ventral Left; AB plpaappppa; Cephalic neurons, contain dopamine
CEPVR; CEPhalic Sensory Neuron Ventral Right; AB prpaappppa; Cephalic neurons, contain dopamine
CP0; C-type Neuron, Posterior Daughter after Division 0; P2.aap; Male specific neuron in ventral cord
CP1; C-type Neuron, Posterior Daughter after Division 1; P3.aapp; Male specific neuron in ventral cord
CP2; C-type Neuron, Posterior Daughter after Division 2; P4.aapp; Male specific neuron in ventral cord
CP3; C-type Neuron, Posterior Daughter after Division 3; P5.aapp; Male specific neuron in ventral cord
CP4; C-type Neuron, Posterior Daughter after Division 4; P6.aapp; Male specific motor neuron in ventral cord
CP5; C-type Neuron, Posterior Daughter after Division 5; P7.aapp; Male specific motor neuron in ventral cord
CP6; C-type Neuron, Posterior Daughter after Division 6; P8.aapp; Male specific motor neuron in ventral cord
CP7; C-type Neuron, Posterior Daughter after Division 7; P9.aapp; Male specific motor neuron in ventral cord
CP8; C-type Neuron, Posterior Daughter after Division 8; P10.aapp; Male specific interneuron, projects into preanal ganglion
CP9; C-type Neuron, Posterior Daughter after Division 9; P11.aapp; Male specific interneuron, projects into preanal ganglion
DA1; Dorsal A-type Motor Neuron 1; AB prppapaap; Ventral cord motor neurons, innervate dorsal muscles
DA2; Dorsal A-type Motor Neuron 2; AB plppapapa; Ventral cord motor neurons, innervate dorsal muscles
DA3; Dorsal A-type Motor Neuron 3; AB prppapapa; Ventral cord motor neurons, innervate dorsal muscles
DA4; Dorsal A-type Motor Neuron 4; AB plppapapp; Ventral cord motor neurons, innervate dorsal muscles
DA5; Dorsal A-type Motor Neuron 5; AB prppapapp; Ventral cord motor neurons, innervate dorsal muscles
DA6; Dorsal A-type Motor Neuron 6; AB plpppaaap; Ventral cord motor neurons, innervate dorsal muscles
DA7; Dorsal A-type Motor Neuron 7; AB prpppaaap; Ventral cord motor neurons, innervate dorsal muscles
DA8; Dorsal A-type Motor Neuron 8; AB prpapappp; Ventral cord motor neurons, innervate dorsal muscles
DA9; Dorsal A-type Motor Neuron 9; AB plpppaaaa; Ventral cord motor neurons, innervate dorsal muscles
DB1; Dorsal B-type Motor Neuron 1; AB plpaaaapp; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB1/3)
DB2; Dorsal B-type Motor Neuron 2; AB arappappa; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB3/1)
DB3; Dorsal B-type Motor Neuron 3/1; AB prpaaaapp; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor
DB4; Dorsal B-type Motor Neuron 4; AB prpappapp; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor
DB5; Dorsal B-type Motor Neuron 5; AB plpapappp; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor
DB6; Dorsal B-type Motor Neuron 6; AB plppaappp; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor
DB7; Dorsal B-type Motor Neuron 7; AB prppaappp; Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor
DD1; Dorsal D-type Motor Neuron 1; AB plppappap; Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1
DD2; Dorsal D-type Motor Neuron 2; AB prppappap; Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1
DD3; Dorsal D-type Motor Neuron 3; AB plppapppa; Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1
DD4; Dorsal D-type Motor Neuron 4; AB prppapppa; Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1
DD5; Dorsal D-type Motor Neuron 5; AB plppapppp; Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1
DD6; Dorsal D-type Motor Neuron 6; AB prppapppp; Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1
DVA; Dorsorectal Ganglion Ventral Process A; AB prppppapp; Ring interneurons, cell bodies in dorsorectal ganglion
DVB; Dorsorectal Ganglion Ventral Process B; K.p; An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles
DVC; Dorsorectal Ganglion Ventral Process C; C aapaa; Ring interneurons, cell bodies in dorsorectal ganglion
