Cell name,Type,Name details,Lineage,Classification
DVC,Layer 2 interneuron,Dorsorectal Ganglion Ventral Process C,C aapaa,"Ring interneurons, cell bodies in dorsorectal ganglion"
FLPL,Mechanosensory,FLaP-like Dendritic Ending Left,AB plapaaapad,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
FLPR,Mechanosensory,FLaP-like Dendritic Ending Right,AB prapaaapad,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
HSNL,Hermaphrodite specific motor neuron,Hermaphrodite-Specific Neuron Left,AB plapppappa,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic"
HSNR,Hermaphrodite specific motor neuron,Hermaphrodite-Specific Neuron Right,AB prapppappa,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic"
I1L,Pharyngeal interneuron,Interneuron 1 (pharynx) Left,AB alpapppaa,"Pharyngeal interneurons: ant sensory, input from RIP"
I1R,Pharyngeal interneuron,Interneuron 1 (pharynx) Right,AB arapappaa,"Pharyngeal interneurons: ant sensory, input from RIP"
I2L,Pharyngeal interneuron,Interneuron 2 (pharynx) Left,AB alpappaapa,"Pharyngeal interneurons, ant sensory"
I2R,Pharyngeal interneuron,Interneuron 2 (pharynx) Right,AB arapapaapa,"Pharyngeal interneurons, ant sensory"
I3,Pharyngeal interneuron,Interneuron 3 (pharynx),MS aaaaapaa,"Pharyngeal interneuron, ant sensory"
I4,Pharyngeal interneuron,Interneuron 4 (pharynx),MS aaaapaa,Pharyngeal interneuron
I5,Pharyngeal interneuron,Interneuron 5 (pharynx),AB arapapapp,"Pharyngeal interneuron, post sensory"
I6,Pharyngeal interneuron,Interneuron 6 (pharynx),MS paaapaa,"Pharyngeal interneuron, post sensory"
IL1DL,Cephalic,Inner Labial 1 Dorsal Left,AB alapappaaa,Inner labial neuron
IL1DR,Cephalic,Inner Labial 1 Dorsal Right,AB alappppaaa,Inner labial neuron
IL1L,Cephalic,Inner Labial 1 Left,AB alapaappaa,Inner labial neuron
IL1R,Cephalic,Inner Labial 1 Right,AB alaappppaa,Inner labial neuron
IL1VL,Cephalic,Inner Labial 1 Ventral Left,AB alppapppaa,Inner labial neuron
IL1VR,Cephalic,Inner Labial 1 Ventral Right,AB arapppppaa,Inner labial neuron
IL2DL,Cephalic,Inner Labial 2 Dorsal Left,AB alapappap,Inner labial neuron
IL2DR,Cephalic,Inner Labial 2 Dorsal Right,AB alappppap,Inner labial neuron
IL2L,Cephalic,Inner Labial 2 Left,AB alapaappp,Inner labial neuron
IL2R,Cephalic,Inner Labial 2 Right,AB alaappppp,Inner labial neuron
IL2VL,Cephalic,Inner Labial 2 Ventral Left,AB alppapppp,Inner labial neuron
IL2VR,Cephalic,Inner Labial 2 Ventral Right,AB arapppppp,Inner labial neuron
LUAL,Layer 3 interneuron,LUmbar Ganglion A Left,AB plpppaapap,"Interneuron, short process in post ventral cord"
LUAR,Layer 3 interneuron,LUmbar Ganglion A Right,AB prpppaapap,"Interneuron, short process in post ventral cord"
M1,Pharyngeal motor neuron,Motor Neuron 1 (pharynx),MS paapaaa,Pharyngeal motorneuron
M2L,Pharyngeal motor neuron,Motor Neuron 2 (pharynx) Left,AB araapappa,Pharyngeal motorneurons
M2R,Pharyngeal motor neuron,Motor Neuron 2 (pharynx) Right,AB araappppa,Pharyngeal motorneurons
M3L,Pharyngeal motor neuron,Motor Neuron 3 (pharynx) Left,AB araapappp,Pharyngeal sensory-motorneurons
M3R,Pharyngeal motor neuron,Motor Neuron 3 (pharynx) Right,AB araappppp,Pharyngeal sensory-motorneurons
M4,Pharyngeal motor neuron,Motor Neuron 4 (pharynx),MS paaaaaa,Pharyngeal motorneuron
M5,Pharyngeal motor neuron,Motor Neuron 5 (pharynx),MS paaapap,Pharyngeal motorneuron
MCL,Pharyngeal polymodal neuron,Marginal Cell Neuron (pharynx) Left,AB alpaaappp,Pharyngeal neurons that synapse onto marginal cells
MCR,Pharyngeal polymodal neuron,Marginal Cell Neuron (pharynx) Right,AB arapaappp,Pharyngeal neurons that synapse onto marginal cells
MI,Pharyngeal polymodal neuron,Motor/Interneuron (pharynx),AB araappaaa,Pharyngeal motor neuron/interneuron
NSML,Pharyngeal polymodal neuron,NeuroSecretory Motor Neuron (pharynx) Left,AB araapapaav,"Pharyngeal neurosecretory motorneuron, contain serotonin"
NSMR,Pharyngeal polymodal neuron,NeuroSecretory Motor Neuron (pharynx) Right,AB araapppaav,"Pharyngeal neurosecretory motorneuron, contain serotonin"
